prov,latitude,longitude,source
gbif,33.7629,-110.9879,gbif
gbif,33.765132,-110.986882,gbif
gbif,31.746029,-111.581735,gbif
gbif,32.338833,-110.6935,gbif
gbif,31.724111,-110.515306,gbif
gbif,31.9883,-111.5207,gbif
gbif,31.988,-111.521,gbif
gbif,32.012844,-112.693485,gbif
gbif,32.33694,-110.69667,gbif
gbif,32.43028,-110.70472,gbif
gbif,32.459141,-110.311059,gbif
gbif,31.746028,-111.56475,gbif
gbif,32.114,-112.706,gbif
gbif,31.5,-110,gbif
gbif,31.478801,-109.978931,gbif
gbif,32.022285,-110.10868,gbif
gbif,33.4151,-111.346,gbif
gbif,32.439434,-110.926479,gbif
gbif,33.1186,-111.076,gbif
gbif,32.0285,-110.12,gbif
gbif,32.96,-109.406,gbif
gbif,32.911326,-110.520351,gbif
gbif,32.0044,-109.356,gbif
gbif,33.38028,-111.35944,gbif
gbif,32,-111.55,gbif
gbif,31.7895,-111.632,gbif
gbif,31.789514,-111.6327,gbif
gbif,31.790833,-111.632222,gbif
gbif,31.789341,-111.632543,gbif
gbif,31.576028,-111.151344,gbif
gbif,33.97,-117.31944,gbif
gbif,31.570854,-108.984954,gbif
gbif,32.95722,-110.35444,gbif
gbif,32.344293,-110.780588,gbif
gbif,32.428541,-110.755875,gbif
gbif,35,-109.367,gbif
gbif,32.489851,-110.784029,gbif
gbif,33.528046,-111.307863,gbif
gbif,33.489843,-111.25,gbif
gbif,33.5665,-111.354,gbif
gbif,31.43196,-111.18896,gbif
gbif,33.495278,-111.250556,gbif
gbif,32.3065,-110.696,gbif
gbif,32.3269,-110.696,gbif
gbif,32.0044,-110.139,gbif
gbif,38.537,-121.749,gbif
gbif,38.544906,-121.740517,gbif
gbif,33.415,-111.462,gbif
gbif,33.848474,-110.984529,gbif
gbif,32.22167,-110.92583,gbif
gbif,33.8394,-110.86,gbif
gbif,32.336923,-110.692275,gbif
gbif,32.32917,-110.69722,gbif
gbif,33.530914,-111.31308,gbif
gbif,33.42861,-111.4175,gbif
gbif,19.828064,-101.339531,gbif
gbif,19.828213,-101.339554,gbif
gbif,20.992397,-100.960986,gbif
gbif,21.054838,-101.539117,gbif
gbif,20.486009,-100.444027,gbif
gbif,19.828331,-101.339317,gbif
gbif,20.487142,-100.299792,gbif
gbif,19.322679,-99.193156,gbif
gbif,19.640556,-101.2275,gbif
gbif,20.830288,-101.805295,gbif
gbif,20.792339,-100.516228,gbif
gbif,19.634512,-101.224643,gbif
gbif,20.032543,-99.120773,gbif
gbif,21.453679,-100.131479,gbif
gbif,19.828131,-101.339531,gbif
gbif,20.027498,-99.149048,gbif
gbif,19.322673,-99.192525,gbif
gbif,19.397451,-98.960129,gbif
gbif,20.808206,-100.525788,gbif
gbif,24.004167,-104.799722,gbif
gbif,19.647837,-101.201973,gbif
gbif,20.810279,-100.528845,gbif
gbif,19.591982,-99.053231,gbif
gbif,22.762435,-102.49654,gbif
gbif,19.321354,-99.1937,gbif
gbif,21.673139,-101.192783,gbif
gbif,19.321421,-99.193176,gbif
